Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
ICICI Pru ESG Exclsnry Strtgy Dir Gr	Direct Plan	Equity - ESG	4.0		-2.49%	-10.50%	-14.91%	-12.43%	-14.91%	-5.21%	3.72%	15.12%	11.96%	
Quant Mid Cap Dir Gr	Direct Plan	Mid-Cap	3.0		-1.19%	-4.00%	-9.83%	-7.48%	-9.83%	-6.75%	-4.58%	15.12%	18.99%	16.80%
Edelweiss Focused Dir Gr	Direct Plan	Focused Fund	4.0		-2.31%	-12.47%	-12.32%	-7.32%	-12.32%	-1.64%	4.40%	15.11%		
Quant ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	5.0		-2.35%	-9.08%	-11.22%	-7.68%	-11.22%	1.46%	-1.44%	15.09%	17.87%	20.06%
Sundaram large and Mid Cap Dir Gr	Direct Plan	Large & Mid-Cap	3.0		-0.06%	-12.10%	-12.11%	-8.88%	-13.07%	-1.72%	3.54%	15.07%	12.93%	14.71%
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	Direct Plan	ELSS (Tax Savings)			1.00%	-9.65%	-12.15%	-11.19%	-13.28%	2.34%	2.05%	15.05%	19.44%	
Tata Banking & Financial Svcs Dir Gr	Direct Plan	Sector - Financial Services	5.0		-1.74%	-14.59%	-13.81%	-7.56%	-14.31%	-0.41%	8.59%	15.04%	12.20%	16.25%
DSP Flexi Cap Fund Dir Gr	Direct Plan	Flexi Cap	4.0		-0.24%	-12.05%	-13.02%	-10.57%	-13.56%	-4.94%	4.45%	15.04%	11.60%	14.56%
Baroda BNP P Bank & Fin Srvs Dir Gr	Direct Plan	Sector - Financial Services	4.0		-1.46%	-14.86%	-13.28%	-7.74%	-13.93%	-2.32%	7.22%	15.00%	10.36%	13.08%
Tata Flexi Cap Dir Gr	Direct Plan	Flexi Cap	3.0		-0.65%	-11.14%	-12.76%	-9.98%	-13.47%	-1.91%	4.54%	15.00%	11.28%	
Edelweiss ELSS Tax saver Dir Gr	Direct Plan	ELSS (Tax Savings)	4.0		-2.17%	-10.41%	-12.61%	-5.93%	-12.61%	0.99%	4.96%	14.99%	13.23%	13.29%
SBI Multicap Dir Gr	Direct Plan	Multi-Cap	3.0		-2.20%	-9.37%	-12.14%	-11.29%	-12.14%	-4.69%	5.34%	14.93%		
